citation_key,title,year,reviewer1_decision,reviewer1_criterion,reviewer2_decision,reviewer2_criterion,notes
ManishMotwani2023,Better Automatic Program Repair by Using Bug Reports and Tests Together,2023,exclude,E3,,,
ZhiyuFan2023,Automated Repair of Programs from Large Language Models,2023,exclude,E3,,,
WeishiWang2023,RAP-Gen: Retrieval-Augmented Patch Generation with CodeT5 for Automatic Program Repair,2023,exclude,E3,,,
PengchengYin2018,TRANX: A Transition-based Neural Abstract Syntax Parser for Semantic Parsing and Code Generation,2018,exclude,E3,,,
GaetaninoPaolone2020,Automatic Code Generation of MVC Web Applications,2020,exclude,missing I1,,,
FrankFXu2022,In-IDE Code Generation from Natural Language: Promise and Challenges,2022,exclude,E2,,,
YueWang2021,CodeT5: Identifier-aware Unified Pre-trained Encoder-Decoder Models for Code Understanding and Generation,2021,exclude,E1,,,
PhillipALaplante2022,Requirements Engineering for Software and Systems,2022,exclude,missing I1,,,
KowndinyaBoyalakuntla2022,eGEN: an energy-saving modeling language and code generator for location-sensing of mobile apps,2022,exclude,missing I1,,,
SijieShen2022,Incorporating domain knowledge through task augmentation for front-end JavaScript code generation,2022,exclude,E3,,,
XinWang2022,Test-Driven Multi-Task Learning with Functionally Equivalent Code Transformation for Neural Code Generation,2022,exclude,E3,,,
ZiyanZhao2023,ReqGen: Keywords-Driven Software Requirements Generation,2023,exclude,E3,,,
YejinBang2023,"A Multitask, Multilingual, Multimodal Evaluation of ChatGPT on Reasoning, Hallucination, and Interactivity",2023,exclude,E8,,,
IrfanUllah2022,Template-based Automatic code generation for Web application and APIs Using Class Diagram,2022,exclude,missing I1,,,
RahulkrishnaYandrapally2023,Carving UI Tests to Generate API Tests and API Specification,2023,exclude,E3,,,
ChenQian2023,ChatDev: Communicative Agents for Software Development,2023,include,I1,,,
SiruiHong2023,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,2023,include,I1,,,
KnutHRolland2023,Acrobats and Safety Nets: Problematizing Large-Scale Agile Software Development,2023,exclude,missing I1,,,
JoonSungPark2023,Generative Agents: Interactive Simulacra of Human Behavior,2023,exclude,E8,,,
XiaoxueRen2023,From Misuse to Mastery: Enhancing Code Generation with Knowledge-Driven AI Chaining,2023,exclude,E3,,,
YuCheng2023,Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains,2023,include,I1,,,
YueLiu2024,Refining ChatGPT-Generated Code: Characterizing and Mitigating Code Quality Issues,2024,exclude,E3,,,
JianxunWang2023,A Review on Code Generation with LLMs: Application and Evaluation,2023,exclude,E1,,,
AshaRajbhoj2024,Accelerating Software Development Using Generative AI: ChatGPT Case Study,2024,include,I1,,,
